scorer,,,,
bodyparts,Lhand,,Rhand,
coords,x,y,x,y
245,224.4404857,557.6420945,179.0822775,419.960019
246,224.0141006,573.5796043,188.5910125,424.0975816
247,226.2221675,583.6729231,199.298676,434.0448332
248,230.3081396,587.8222388,207.6357062,439.0037727
249,234.3514018,597.150649,210.4103173,446.6298401
250,,,213.8947821,456.140121
251,,,214.2296467,461.8476719
252,300.2721195,508.9202103,214.8226948,468.420092
253,322.4872645,405.4424049,225.2206254,475.8361924
254,322.3411392,360.4329357,233.0425811,479.8604407
255,281.6471195,328.1108799,238.3145537,489.9063644
256,255.4323912,328.116245,241.6360998,497.086791
257,230.4043803,338.0772413,241.033124,506.0801911
258,224.895941,354.0287677,239.1877029,511.812242
259,225.9000208,368.9365573,228.0950115,512.9687791
260,224.934464,380.9647878,176.5593805,470.5020611
261,213.7039413,396.9104412,141.8563933,396.6809012
262,205.2624675,411.6674266,135.7840726,354.243
263,199.3180368,430.9766185,142.0493238,325.5556725
264,199.7869852,451.2544803,147.0933445,322.7187986
265,199.3639634,478.0063806,155.4129602,347.1040983
266,202.3321021,503.6810379,163.5072923,372.9999399
267,204.7415639,524.334371,174.1896062,398.3142724
268,208.4413929,542.0607846,179.4478019,415.5466671
269,211.6492749,556.8634459,183.2593372,432.631784
270,216.292583,568.4736991,188.0341819,441.853801
271,221.0336987,577.0892971,192.8001122,448.8037641
