scorer,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,RFinger1,RFinger1,RFinger1,RFinger2,RFinger2,RFinger2,RFinger3,RFinger3,RFinger3,RFinger4,RFinger4,RFinger4,LFinger1,LFinger1,LFinger1,LFinger2,LFinger2,LFinger2,LFinger3,LFinger3,LFinger3,LFinger4,LFinger4,LFinger4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
37,216.0154967,537.6756172,0.999999285,154.8954548,348.9009789,1,166.8343108,323.9836911,0.99166131,173.9907641,332.2630482,0.999998689,174.3281932,348.0278585,0.999999881,159.8853207,360.432338,1,183.4642644,547.9903295,0.999999762,187.0741701,568.0660906,0.999999642,198.8616021,572.9952284,0.999994397,220.1378731,562.7889142,0.999999523
38,259.5671214,471.7688458,1,160.0361323,354.2043282,1,170.7297465,333.466089,0.999995947,184.5442038,343.5501945,0.999997377,184.0132866,360.1263871,1,167.7523596,368.3297215,1,231.1583669,483.1568425,0.999999881,234.7222366,499.6173007,0.999999881,243.5029814,505.8972373,0.999999642,256.6978509,499.1534242,0.999999881
39,283.9357159,386.8180355,1,167.0708799,370.9761248,1,180.616951,348.7504786,0.988402307,192.3830333,360.5512393,0.999999523,193.8150454,376.4055972,1,174.1422334,384.7432103,0.999999881,255.7718234,387.0912764,0.999999881,259.5488237,393.1078002,0.999999881,265.7133594,401.1593475,1,271.1374578,405.5231175,1
40,290.3199455,347.8689755,0.999998331,180.6151701,388.4252337,1,197.6001198,368.6100733,0.987784863,206.3292274,380.2353844,0.999999881,205.8968705,394.4574108,1,188.0295293,402.2207258,1,264.9754982,328.5755315,0.999988914,271.5196607,330.483305,0.999999404,272.3130336,337.1847916,0.999999762,273.1367848,351.2364025,0.99996388
41,273.1152959,311.8489895,0.999952197,189.163317,409.0808372,1,206.54003,387.4419708,0.144233465,214.5683839,398.9508214,0.999999642,213.6988654,413.1168613,1,197.1287249,421.7942485,1,254.0450039,283.1600785,0.999990463,257.3381393,282.6774914,0.999999642,259.1799521,288.2226098,0.999975443,256.2167101,306.9259458,0.999398232
42,250.8633572,277.7765365,0.967859864,194.2859486,428.2897739,1,212.2137827,406.3193989,0.503598034,218.9731236,415.279665,1,219.7180874,430.9899242,0.999999762,203.9015947,441.1609294,0.999999285,237.468307,262.7600853,0.61150378,240.4430869,261.9533651,0.707107067,240.7436609,270.4203441,0.944734156,243.984559,279.5582585,0.832897723
43,230.9054739,311.6657596,0.811504662,193.7242184,440.5562677,1,210.2375669,420.6289186,0.273585409,220.2239604,430.5009313,0.999999762,221.3615916,445.6172243,0.999999881,206.7381113,454.0898702,0.999999881,218.9393122,280.5804615,0.989023447,214.2559953,282.1896106,0.914907634,211.9580452,292.4533316,0.013113073,219.6836604,312.9905615,0.05633039
44,226.4821355,340.9686378,0.999981046,192.4816008,463.8719761,1,207.6781917,441.1743484,0.693413496,215.8696215,451.4688764,0.999999523,219.1284554,468.3093982,1,205.9002786,476.6472871,1,215.5207171,310.8892281,0.925909519,204.8066792,328.7555079,0.99997282,206.2251346,338.7335541,0.999919534,220.993175,352.8394802,0.999946952
45,232.8375416,357.9787232,0.999999642,192.0966635,480.79667,1,208.3493476,457.9741282,0.919517159,216.0784073,466.9638864,0.999999642,218.8462635,482.5535249,1,207.7358837,492.58307,1,223.2224674,336.981127,0.99695611,209.0835178,353.2556653,1,212.5479067,367.1593087,0.999999881,224.9694557,377.5915544,0.999999762
46,231.6885781,368.6389761,0.999999881,196.4798144,491.7924829,1,211.6838107,471.1466522,0.266284972,217.0287027,477.1413846,0.999998808,220.472167,493.8437157,0.999999642,211.8612663,503.157464,1,220.4419182,347.9427846,0.998121321,208.214015,365.585779,0.999999762,211.3479619,379.1262596,1,223.2668076,388.0109338,1
47,230.6882408,385.823308,1,195.8400628,506.8829579,1,210.5000043,486.8980045,0.958863854,215.2213612,493.7190599,0.999999404,220.8410032,510.9886041,0.999999881,212.9129329,520.4367371,1,220.9923025,366.8307557,0.999400496,206.3435369,383.5217109,0.999999881,209.0144136,398.7793372,0.999999642,221.0382038,406.0600052,1
48,232.9258857,400.3658581,0.999999881,199.7900908,518.0694523,1,211.7170036,500.1821256,0.999192178,217.6053135,508.6256922,1,219.8935191,524.9863539,0.999999881,214.7192521,534.5200174,1,223.9938369,380.8974898,0.999821007,207.1846697,399.998631,0.999999881,211.5082688,414.0335438,1,223.7934921,421.9122199,1
49,237.9013548,413.7035942,0.99999845,198.7761939,529.5089011,1,211.909243,512.4296954,0.991478026,217.58567,520.704864,0.999999881,219.4494882,535.4422266,1,214.5208507,545.5490198,1,228.5189228,395.0292435,0.975443244,212.5277165,413.7153164,1,216.4989409,428.0904405,0.999999881,226.5471786,435.8152865,1
50,239.3894825,419.3499671,0.999999642,199.6552989,533.285925,1,211.6007938,516.8704638,0.999688983,215.4942849,524.72009,0.999999642,218.2900025,539.6575332,0.999999762,213.7695248,548.8976988,1,229.7543097,401.5129092,0.98416692,213.5365106,418.7645391,1,218.6604884,432.6327596,0.999999523,229.390397,441.6961567,0.999999881
51,240.0683675,421.5075994,0.999999523,200.83707,536.4947577,1,211.7997912,519.7115202,0.999679446,214.6650286,526.6970119,0.999999881,217.9232504,542.5318017,0.999999523,214.3504283,551.3575575,1,228.0173229,405.0122391,0.777588844,212.681411,421.8550414,1,217.0237885,436.2338753,0.999999642,228.712785,444.4107432,0.999999642
52,237.5456793,427.8160104,0.999999285,200.8181753,538.1425719,1,211.0121365,520.6907039,0.999962449,216.51581,531.9704451,1,218.4427356,546.7112865,1,214.9488769,555.5036584,1,227.6751837,410.5317101,0.939161777,212.7281848,427.5031314,0.999999881,215.5511463,440.6034288,0.999999642,226.3107687,449.5671294,1
