scorer,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,delta x Lhand,delta y Lhand,Delta x Rhand,Delta y Rhand ,velocity x Lhand (pixels/s),velocity y Lhand (pixels/s),velocity x Rhand (pixels/s),velocity y Rhand (pixels/s),total velocity,Correlation coefficient,Max,Min
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,585.9807878,366.0079718
coords,x,y,likelihood,x,y,likelihood,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,573.5751723,350.6703038
98,117.7803791,485.8188819,0.999999881,104.0748043,468.7034855,0.000194281,-8.808906019,6.085752629,-20.17380527,-126.5585389,-880.8906019,608.5752629,-2017.380527,-12655.85389,12815.6335,,,
99,108.971473,491.9046345,0.999999762,83.90099904,342.1449466,0.999153256,-2.812029898,5.439841248,16.56211537,24.56778741,-281.2029898,543.9841248,1656.211537,2456.778741,2962.903717,,,
100,106.1594431,497.3444757,1,100.4631144,366.712734,0.986243665,-4.669276714,7.936089039,8.264195472,13.04445487,-466.9276714,793.6089039,826.4195472,1304.445487,1544.197946,,,
101,101.4901664,505.2805648,1,108.7273099,379.7571889,0.999928594,-0.605466366,,2.876612723,16.54549092,-60.54663658,,287.6612723,1654.549092,1679.369437,,,
102,100.8847001,508.0683967,1,111.6039226,396.3026798,0.999999881,4.185448885,,1.101402521,16.28866225,418.5448885,0,110.1402521,1628.866225,1632.585696,,,
103,105.0701489,512.8881083,0.999997497,112.7053251,412.591342,1,4.486131668,9.745059371,0.158389568,21.89155382,448.6131668,974.5059371,15.83895683,2189.155382,2189.21268,,,
104,109.5562806,522.6331676,0.999994516,112.8637147,434.4828959,1,13.26579046,,-1.50471282,17.55001912,1326.579046,0,-150.471282,1755.001912,1761.440694,,,
105,122.8220711,536.7251067,0.999958158,111.3590019,452.032915,1,32.86785692,,-0.213106394,18.09554162,3286.785692,0,-21.31063938,1809.554162,1809.679642,,,
106,155.689928,531.8303973,0.99999249,111.1458955,470.1284566,1,57.44900149,,-7.401419163,17.38320208,5744.900149,0,-740.1419163,1738.320208,1889.329828,,,
107,213.1389295,466.6882583,1,103.7444763,487.5116587,1,25.86680233,,3.171840072,19.70472652,2586.680233,0,317.1840072,1970.472652,1995.83771,,,
108,239.0057318,404.3840433,1,106.9163164,507.2163852,1,6.339388132,-28.34527647,8.092646599,20.55409521,633.9388132,-2834.527647,809.2646599,2055.409521,2208.985647,,,
109,245.34512,376.0387669,0.999991417,115.008963,527.7704804,1,-22.51014423,-20.24837947,6.724431634,17.29280639,-2251.014423,-2024.837947,672.4431634,1729.280639,1855.422145,,,
110,222.8349757,355.7903874,0.999967217,121.7333946,545.0632868,1,-23.37237358,2.298484564,5.072728157,19.17436507,-2337.237358,229.8484564,507.2728157,1917.436507,1983.403254,,,
111,199.4626021,358.088872,0.999768317,126.8061228,564.2376519,1,-10.08784699,19.92784214,0.390672207,13.67510936,-1008.784699,1992.784214,39.06722069,1367.510936,1368.06886,,,
112,189.3747551,378.0167141,0.999999404,127.196795,577.9127612,0.999999881,-12.8835876,26.09270795,0.278506756,11.06031811,-1288.35876,2609.270795,27.85067558,1106.031811,1106.382406,,,
113,176.4911675,404.109422,0.999386072,127.4753017,588.9730793,0.999874115,-6.638079882,13.45300309,6.037081122,8.040723324,-663.8079882,1345.300309,603.7081122,804.0723324,1005.482869,,,
114,169.8530877,417.5624251,0.999987125,133.5123829,597.0138026,0.999855995,-0.579646826,6.529620647,8.620213866,4.159147143,-57.96468258,652.9620647,862.0213866,415.9147143,957.1133269,,,
115,169.2734408,424.0920458,0.999997377,142.1325967,601.1729498,0.98269695,-0.701287746,6.575517416,3.21458745,8.8073349,-70.12877464,657.5517416,321.458745,880.73349,937.5645072,,,
116,168.5721531,430.6675632,0.999999404,145.3471842,609.9802847,0.411564022,-2.927043915,10.58538842,9.149291277,3.870627403,-292.7043915,1058.538842,914.9291277,387.0627403,993.4348865,,,
117,165.6451092,441.2529516,0.999999762,154.4964755,613.8509121,0.07694456,-1.906873375,10.07607931,-20.04806209,-3.287269592,-190.6873375,1007.607931,-2004.806209,-328.7269592,2031.578044,,,
118,163.7382358,451.3290309,1,134.4484134,610.5636425,0.00676084,-4.431289285,1.432974994,-17.87415719,-31.20700175,-443.1289285,143.2974994,-1787.415719,-3120.700175,3596.334875,,,
119,159.3069465,452.7620059,0.999999881,116.5742562,579.3566408,1,-8.396780491,4.995805621,-43.96207023,-94.24193758,-839.6780491,499.5805621,-4396.207023,-9424.193758,10399.13766,,,
