,p_left,p_right,y_left,y_right
166,0.999998808,1.0,572.0999405,383.521358
167,0.999991179,1.0,574.6805422,402.0165296
168,0.999890208,1.0,540.3046274,419.6651109
169,1.0,1.0,453.4743203,433.2473743
170,0.999999762,1.0,372.3846374,449.9426644
171,0.999593318,1.0,335.6960826,462.3063073
172,0.99701786,1.0,293.9921737,480.8760605
173,0.999989033,1.0,294.0777156,497.7614553
174,0.999827385,1.0,315.63001,513.0146894
175,0.999975204,1.0,325.5793388,528.1928053
176,0.999999762,1.0,343.4403372,543.8069472
177,0.999999523,1.0,363.3193964,556.6923312
178,0.999999762,1.0,384.0638916,566.3283992
179,0.999999881,0.999999762,403.6678413,568.3442354
180,0.999999166,1.0,423.6490903,553.7505982
181,0.999999762,0.999999285,445.2108502,488.3037851
182,0.999998808,1.0,463.6940551,380.3348009
183,0.999999881,0.999985933,482.76759,322.7604127
184,0.999999762,0.999999762,500.554481,289.519105
185,0.999999642,0.999999642,510.4863441,273.6644711
186,0.999999166,0.999899507,521.072588,291.6739788
187,0.999999762,0.999999881,534.2521632,312.3301973
188,1.0,1.0,549.1211724,325.3484722
189,0.999999404,1.0,557.9121791,338.1884377
190,0.999999642,1.0,563.7935301,352.2819061
191,0.999814212,1.0,534.3141172,370.1615357
192,1.0,1.0,455.1768,390.2158237
193,0.994680941,1.0,378.6691527,414.9517133
194,0.723128855,1.0,334.8340063,444.5952199
195,0.999897003,1.0,290.9988599,467.2446142
196,0.999931216,1.0,290.9988599,483.940606
197,0.999998569,1.0,312.8919477,500.8620661
198,0.999967098,1.0,330.3491938,518.4653621
199,0.999999762,1.0,348.4767197,535.0143566
200,0.999999166,1.0,366.2611368,549.4769387
201,0.999999642,1.0,382.262948,562.145762
202,0.999997616,0.999999881,398.3411717,567.7473786
203,0.999998927,1.0,416.5475497,574.0714512
204,1.0,1.0,436.9330196,576.0716224
205,0.999999762,0.999999404,456.4404263,550.5684321
206,0.999999404,1.0,483.0995027,473.966182
207,0.999999762,0.999997497,503.9790778,389.165949
208,0.999999881,0.999999166,526.2337699,352.0127206
209,0.999999523,1.0,540.9109675,321.4581008
210,1.0,0.999987602,547.4183173,318.088706
211,0.999999642,0.999992847,556.1156973,337.5929108
212,0.999999285,1.0,568.1923068,352.7552714
213,1.0,1.0,581.0268134,364.6672536
214,0.99999845,1.0,590.2045999,376.986218
215,0.999345005,1.0,601.1644006,389.1859446
216,0.04618847,1.0,566.5125645,400.9806943
217,0.067074232,1.0,531.8607284,414.7096336
218,0.008476013,1.0,497.2088923,432.9657688
219,1.0,1.0,497.2088923,454.8541977
220,1.0,1.0,410.4576303,475.2942281
221,0.99849391,1.0,363.8966686,494.8289165
222,0.997475922,1.0,320.514668,516.3302851
223,0.99964273,1.0,299.006786,532.2736173
224,0.999964595,1.0,287.7075176,548.8834132
225,0.999244094,1.0,317.2349077,561.3607254
226,0.998564541,1.0,335.2718053,572.631269
